日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
2021-03-15,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5724.62,5739.96,5611.75,5660.94,-92.23,-1.6,68305.22,7584.37,3618
2021-03-16,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5675.32,5711.59,5633.75,5711.24,50.3,0.89,63659.95,6902.24,3618
2021-03-17,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5695.2,5754.23,5652.47,5740.47,29.23,0.51,58917.31,6612.13,3618
2021-03-18,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5749.91,5799.85,5746.04,5777.69,37.22,0.65,58775.0,6758.51,3618
2021-03-19,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5701.68,5736.91,5639.79,5668.95,-108.75,-1.88,61683.04,7068.98,3618
2021-03-22,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5671.8,5739.09,5664.7,5738.76,69.81,1.23,63197.19,6934.15,3619
2021-03-23,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5739.14,5739.14,5639.13,5676.72,-62.04,-1.08,65472.48,7123.58,3619
2021-03-24,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5646.71,5687.16,5585.71,5594.27,-82.44,-1.45,62714.85,6919.38,3619
2021-03-25,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5568.69,5622.89,5544.72,5593.62,-0.65,-0.01,55967.35,6043.96,3619
2021-03-26,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5614.11,5719.36,5614.11,5707.24,113.62,2.03,57205.49,6817.21,3620
2021-03-29,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5722.85,5754.38,5684.23,5718.25,11.01,0.19,58510.77,6870.99,3621
2021-03-30,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5710.35,5756.41,5689.5,5746.89,28.64,0.5,58488.24,6754.99,3621
2021-03-31,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5738.52,5738.52,5678.36,5715.75,-31.14,-0.54,54931.54,6225.86,3621
2021-04-01,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5724.63,5778.23,5715.93,5772.64,56.89,1.0,53609.02,5918.26,3621
2021-04-02,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5788.54,5824.37,5771.58,5812.15,39.5,0.68,53209.23,6395.65,3621
2021-04-06,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5828.93,5833.07,5797.38,5814.9,2.75,0.05,49839.0,5888.66,3621
2021-04-07,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5818.72,5818.72,5749.08,5795.7,-19.2,-0.33,60162.58,6594.37,3621
2021-04-08,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5773.66,5818.45,5754.69,5795.78,0.09,0.0,65174.37,6721.46,3621
2021-04-09,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5785.47,5787.45,5723.87,5741.15,-54.64,-0.94,56355.43,6178.51,3623
2021-04-12,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5735.66,5752.15,5627.5,5643.63,-97.52,-1.7,61946.21,6987.89,3630
2021-04-13,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5639.78,5682.75,5613.37,5628.81,-14.81,-0.26,55918.56,6021.34,3630
2021-04-14,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5632.35,5694.65,5632.35,5689.24,60.42,1.07,52084.38,5855.6,3630
2021-04-15,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5675.9,5675.9,5614.84,5662.28,-26.95,-0.47,52271.91,5840.35,3630
2021-04-16,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5675.46,5713.83,5645.54,5702.9,40.62,0.72,56526.82,6222.85,3631
2021-04-19,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5701.64,5823.68,5682.78,5822.36,119.46,2.09,64021.02,7804.6,3631
2021-04-20,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5803.05,5856.63,5794.9,5814.67,-7.69,-0.13,60992.12,7552.62,3632
2021-04-21,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5782.78,5833.11,5770.83,5820.69,6.02,0.1,54226.32,6622.28,3632
2021-04-22,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5839.12,5843.12,5802.69,5825.25,4.56,0.08,53091.71,6635.16,3632
2021-04-23,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5822.95,5864.61,5813.72,5850.63,25.38,0.43,54325.54,6996.27,3632
2021-04-26,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5870.3,5903.74,5796.7,5801.39,-49.24,-0.84,60390.81,8242.21,3632
2021-04-27,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5797.64,5805.25,5751.03,5804.01,2.62,0.04,53888.42,6859.26,3633
2021-04-28,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5789.73,5839.26,5773.25,5839.26,35.26,0.61,52299.09,7142.32,3633
2021-04-29,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5842.79,5874.03,5824.91,5864.92,25.66,0.44,55888.67,7473.63,3634
2021-04-30,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5852.42,5866.45,5800.35,5835.71,-29.21,-0.5,59816.37,7914.49,3634
2021-05-06,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5822.6,5855.07,5762.77,5799.37,-36.34,-0.62,61131.14,8056.77,3634
2021-05-07,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5810.74,5824.34,5729.98,5729.98,-69.39,-1.2,68440.12,8111.2,3634
2021-05-10,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5737.06,5756.55,5700.38,5739.82,9.84,0.17,69875.53,7891.99,3635
2021-05-11,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5701.87,5770.86,5657.32,5759.0,19.18,0.33,68416.09,7719.13,3636
2021-05-12,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5738.14,5805.09,5736.12,5800.09,41.09,0.71,61449.48,6950.73,3636
2021-05-13,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5743.98,5787.55,5734.23,5746.2,-53.89,-0.93,64674.17,7318.16,3636
2021-05-14,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5761.89,5854.45,5735.1,5853.81,107.61,1.87,67700.55,8270.57,3636
2021-05-17,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5854.31,5934.9,5854.15,5906.91,53.1,0.91,64373.22,8517.66,3624
2021-05-18,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5908.35,5918.43,5880.48,5918.12,11.21,0.19,54567.46,6860.51,3626
2021-05-19,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5901.95,5923.42,5881.1,5907.92,-10.2,-0.17,56397.18,7158.15,3626
2021-05-20,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5891.85,5928.45,5873.84,5909.46,1.53,0.03,63360.49,7828.99,3626
2021-05-21,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5921.87,5937.01,5865.67,5876.08,-33.38,-0.56,57033.57,7319.64,3627
2021-05-24,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5878.18,5905.86,5845.78,5905.86,29.78,0.51,58813.63,7606.97,3627
2021-05-25,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5913.59,6042.26,5909.2,6037.59,131.73,2.23,66223.51,9164.83,3627
2021-05-26,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6044.01,6065.33,6034.44,6045.92,8.32,0.14,67673.56,8752.76,3627
2021-05-27,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6038.96,6104.8,6022.52,6080.46,34.54,0.57,63847.59,8463.41,3627
2021-05-28,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6084.03,6108.98,6038.52,6067.8,-12.66,-0.21,68744.22,9144.36,3627
2021-05-31,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6072.77,6115.68,6050.49,6115.68,47.88,0.79,64930.52,9116.99,3627
2021-06-01,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6104.56,6134.59,6056.49,6133.26,17.58,0.29,69396.04,9445.06,3627
2021-06-02,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6136.06,6139.96,6048.58,6071.09,-62.17,-1.01,69005.18,9018.37,3628
2021-06-03,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6067.26,6107.27,6042.77,6042.77,-28.32,-0.47,66535.21,8479.41,3628
2021-06-04,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6016.48,6116.49,6009.13,6072.57,29.8,0.49,62912.83,8416.0,3628
2021-06-07,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6079.33,6085.1,6049.46,6084.96,12.39,0.2,60967.98,8564.98,3628
2021-06-08,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6085.02,6122.06,6009.99,6042.31,-42.65,-0.7,62648.11,8874.64,3629
2021-06-09,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6035.76,6067.18,6022.03,6051.6,9.29,0.15,60705.74,7914.68,3630
2021-06-10,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6049.57,6122.46,6043.16,6104.57,52.97,0.88,66942.63,9115.13,3631
2021-06-11,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6111.48,6111.93,6056.68,6061.68,-42.89,-0.7,74315.89,10198.87,3631
2021-06-15,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6059.31,6065.36,5977.84,6003.31,-58.37,-0.96,66222.34,9009.04,3643
2021-06-16,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5998.31,5998.72,5892.32,5897.78,-105.53,-1.76,60591.38,8347.2,3644
